MsgID.STATE,1521024548.8232663,False,False
MsgID.GLOBAL_HOME,1521024552.2547998,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024552.2549515,-0.0334774,0.0000045,-0.1352616
MsgID.LOCAL_VELOCITY,1521024552.2549515,0.0000175,-0.0000173,0.0000118
MsgID.GLOBAL_POSITION,1521024552.2551723,-122.3974499,37.7924796,0.1350000
MsgID.LOCAL_VELOCITY,1521024552.2551723,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024552.2962885,-0.0229976,0.0001055,-0.1639781
MsgID.LOCAL_VELOCITY,1521024552.2962885,0.0000008,-0.0000092,0.0000120
MsgID.GLOBAL_POSITION,1521024552.2965176,-122.3974499,37.7924797,0.1630000
MsgID.LOCAL_VELOCITY,1521024552.2965176,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521024552.5454755,0.1423936,0.0943990,-0.5628452
MsgID.LOCAL_VELOCITY,1521024552.5454755,-0.0117102,-0.0135665,-2.4989905
MsgID.GLOBAL_POSITION,1521024552.5459552,-122.3974489,37.7924812,0.5620000
MsgID.LOCAL_VELOCITY,1521024552.5459552,-0.0100000,-0.0100000,-2.4900000
MsgID.LOCAL_POSITION,1521024552.7962978,-0.0066995,0.1810247,-1.4237262
MsgID.LOCAL_VELOCITY,1521024552.7962978,-0.0292373,-0.0199702,-4.1032195
MsgID.GLOBAL_POSITION,1521024552.7965584,-122.3974479,37.7924799,1.4230000
MsgID.LOCAL_VELOCITY,1521024552.7965584,-0.0200000,-0.0100000,-4.1000000
MsgID.STATE,1521024553.0214272,True,True
MsgID.GLOBAL_HOME,1521024553.0217400,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024553.0445087,-0.0969656,0.0524685,-2.5795114
MsgID.LOCAL_VELOCITY,1521024553.0445087,-0.0171626,-0.0258563,-4.5255075
MsgID.GLOBAL_POSITION,1521024553.0883443,-122.3974494,37.7924791,2.5790000
MsgID.LOCAL_VELOCITY,1521024553.0883443,-0.0100000,-0.0200000,-4.5200000
MsgID.LOCAL_POSITION,1521024553.2962098,-0.0877461,-0.0664025,-3.7299957
MsgID.LOCAL_VELOCITY,1521024553.2962098,0.0062046,-0.0183145,-4.6274881
MsgID.GLOBAL_POSITION,1521024553.2967532,-122.3974507,37.7924792,3.7320000
MsgID.LOCAL_VELOCITY,1521024553.2967532,0.0000000,-0.0100000,-4.6200000
MsgID.LOCAL_POSITION,1521024553.5455933,0.1016059,-0.0752739,-4.8761249
MsgID.LOCAL_VELOCITY,1521024553.5455933,0.0090198,-0.0042827,-4.1921911
MsgID.GLOBAL_POSITION,1521024553.5463896,-122.3974508,37.7924809,4.8760000
MsgID.LOCAL_VELOCITY,1521024553.5463896,0.0000000,0.0000000,-4.1900000
MsgID.LOCAL_POSITION,1521024553.7964361,0.0841218,0.0544044,-5.5658545
MsgID.LOCAL_VELOCITY,1521024553.7964361,0.0084845,-0.0040274,-1.6121677
MsgID.GLOBAL_POSITION,1521024553.7970023,-122.3974493,37.7924807,5.5660000
MsgID.LOCAL_VELOCITY,1521024553.7970023,0.0000000,0.0000000,-1.6100000
MsgID.STATE,1521024554.0227556,True,True
MsgID.GLOBAL_HOME,1521024554.0231345,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024554.0457308,-0.0158328,0.0740066,-5.6236639
MsgID.LOCAL_VELOCITY,1521024554.0457308,0.0073789,-0.0189266,0.8980141
MsgID.GLOBAL_POSITION,1521024554.0883474,-122.3974491,37.7924798,5.6230000
MsgID.LOCAL_VELOCITY,1521024554.0883474,0.0000000,-0.0100000,0.8900000
MsgID.LOCAL_POSITION,1521024554.2958488,-0.0139736,-0.2183207,-5.2376256
MsgID.LOCAL_VELOCITY,1521024554.2958488,0.0173536,-0.5969238,1.7862785
MsgID.GLOBAL_POSITION,1521024554.2966652,-122.3974524,37.7924798,5.2350000
MsgID.LOCAL_VELOCITY,1521024554.2966652,0.0100000,-0.5900000,1.7800000
MsgID.LOCAL_POSITION,1521024554.5457263,0.1332331,-0.2181960,-4.8344436
MsgID.LOCAL_VELOCITY,1521024554.5457263,0.8904526,-0.8636047,0.5738358
MsgID.GLOBAL_POSITION,1521024554.5883036,-122.3974524,37.7924811,4.8340000
MsgID.LOCAL_VELOCITY,1521024554.5883036,0.8900000,-0.8600000,0.5700000
MsgID.LOCAL_POSITION,1521024554.7957339,0.6944759,-0.3243493,-4.8632264
MsgID.LOCAL_VELOCITY,1521024554.7957339,3.1112759,-0.6252394,-0.8513056
MsgID.GLOBAL_POSITION,1521024554.7962377,-122.3974536,37.7924862,4.8640000
MsgID.LOCAL_VELOCITY,1521024554.7962377,3.1200000,-0.6200000,-0.8500000
MsgID.STATE,1521024555.0225172,True,True
MsgID.GLOBAL_HOME,1521024555.0228193,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024555.0459328,1.4171962,-0.4845461,-5.0189552
MsgID.LOCAL_VELOCITY,1521024555.0459328,3.9955192,-0.5050200,-0.3346880
MsgID.GLOBAL_POSITION,1521024555.0883467,-122.3974554,37.7924927,5.0180000
MsgID.LOCAL_VELOCITY,1521024555.0883467,3.9900000,-0.5000000,-0.3300000
MsgID.LOCAL_POSITION,1521024555.2964346,2.4773264,-0.7536229,-5.0004869
