MsgID.STATE,1521024548.8232663,False,False
MsgID.LOCAL_POSITION,1521024565.3064439,70.6127625,13.2023888,-4.9953775
MsgID.LOCAL_VELOCITY,1521024565.3064439,0.7558931,8.7638359,0.1467356
MsgID.GLOBAL_POSITION,1521024565.5571606,-122.3972788,37.7931176,4.9960000
MsgID.LOCAL_VELOCITY,1521024565.5571606,0.7300000,8.8300000,0.0500000
MsgID.LOCAL_POSITION,1521024565.5575769,70.8487320,15.2142782,-4.9968491
MsgID.LOCAL_VELOCITY,1521024565.5575769,0.7376918,8.8360252,0.0528866
MsgID.GLOBAL_POSITION,1521024565.8075809,-122.3972519,37.7931207,5.0110000
MsgID.LOCAL_VELOCITY,1521024565.8075809,0.7100000,8.8300000,0.1000000
MsgID.LOCAL_POSITION,1521024565.8078415,71.1967163,17.6056213,-5.0117407
MsgID.LOCAL_VELOCITY,1521024565.8078415,0.7140764,8.8394585,0.1041784
MsgID.STATE,1521024566.0224400,True,True
MsgID.GLOBAL_HOME,1521024566.0227635,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024566.0565631,-122.3972278,37.7931214,5.0040000
MsgID.LOCAL_VELOCITY,1521024566.0565631,0.6800000,8.8400000,0.0900000
MsgID.LOCAL_POSITION,1521024566.1003382,71.2757187,19.7497368,-5.0045090
MsgID.LOCAL_VELOCITY,1521024566.1003382,0.6899987,8.8469591,0.0983826
MsgID.GLOBAL_POSITION,1521024566.3070393,-122.3972036,37.7931222,4.9920000
MsgID.LOCAL_VELOCITY,1521024566.3070393,0.6800000,8.8600000,0.0300000
MsgID.LOCAL_POSITION,1521024566.3072679,71.3602753,21.8933411,-4.9922552
MsgID.LOCAL_VELOCITY,1521024566.3072679,0.6842155,8.8628426,0.0338151
MsgID.GLOBAL_POSITION,1521024566.5566764,-122.3971807,37.7931236,4.9850000
MsgID.LOCAL_VELOCITY,1521024566.5566764,0.6900000,8.8700000,-0.0100000
MsgID.LOCAL_POSITION,1521024566.5570669,71.5192413,23.9327679,-4.9855609
MsgID.LOCAL_VELOCITY,1521024566.5570669,0.6966020,8.8705692,-0.0197587
MsgID.GLOBAL_POSITION,1521024566.8068681,-122.3971548,37.7931251,4.9850000
MsgID.LOCAL_VELOCITY,1521024566.8068681,0.7000000,8.8700000,-0.0900000
MsgID.LOCAL_POSITION,1521024566.8071313,71.6817322,26.2384758,-4.9854679
MsgID.LOCAL_VELOCITY,1521024566.8071313,0.7055507,8.8760233,-0.0930766
MsgID.STATE,1521024567.0243225,True,True
MsgID.GLOBAL_HOME,1521024567.0246620,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024567.0579379,-122.3971308,37.7931268,4.9870000
MsgID.LOCAL_VELOCITY,1521024567.0579379,0.7000000,8.8500000,-0.0200000
MsgID.LOCAL_POSITION,1521024567.1002960,71.8694763,28.3724117,-4.9872217
MsgID.LOCAL_VELOCITY,1521024567.1002960,0.7070452,8.8509884,-0.0245214
MsgID.GLOBAL_POSITION,1521024567.3066645,-122.3971033,37.7931298,4.9870000
MsgID.LOCAL_VELOCITY,1521024567.3066645,0.7000000,8.8600000,-0.0800000
MsgID.LOCAL_POSITION,1521024567.3069844,72.2081985,30.8113079,-4.9870982
MsgID.LOCAL_VELOCITY,1521024567.3069844,0.7069632,8.8642778,-0.0871151
MsgID.GLOBAL_POSITION,1521024567.5583122,-122.3970809,37.7931308,4.9930000
MsgID.LOCAL_VELOCITY,1521024567.5583122,0.6800000,8.8500000,-0.0300000
MsgID.LOCAL_POSITION,1521024567.5586843,72.3127899,32.8047142,-4.9933162
MsgID.LOCAL_VELOCITY,1521024567.5586843,0.6853078,8.8522415,-0.0360364
MsgID.GLOBAL_POSITION,1521024567.8086443,-122.3970551,37.7931318,4.9940000
MsgID.LOCAL_VELOCITY,1521024567.8086443,0.6600000,8.8400000,0.0100000
MsgID.LOCAL_POSITION,1521024567.8089051,72.4230728,35.0976791,-4.9947286
MsgID.LOCAL_VELOCITY,1521024567.8089051,0.6698691,8.8465128,0.0168550
MsgID.STATE,1521024568.0236528,True,True
MsgID.GLOBAL_HOME,1521024568.0241041,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024568.0572891,-122.3970315,37.7931318,4.9940000
MsgID.LOCAL_VELOCITY,1521024568.0572891,0.6800000,8.8500000,0.0000000
MsgID.LOCAL_POSITION,1521024568.1003985,72.4246292,37.1970825,-4.9949455
MsgID.LOCAL_VELOCITY,1521024568.1003985,0.6892597,8.8551846,0.0038671
MsgID.GLOBAL_POSITION,1521024568.3088040,-122.3970034,37.7931340,5.0040000
MsgID.LOCAL_VELOCITY,1521024568.3088040,0.7300000,8.8300000,0.0600000
MsgID.LOCAL_POSITION,1521024568.3090229,72.6769791,39.6907768,-5.0048323
MsgID.LOCAL_VELOCITY,1521024568.3090229,0.7344215,8.8392000,0.0690407
MsgID.GLOBAL_POSITION,1521024568.5591152,-122.3969801,37.7931366,4.9980000
MsgID.LOCAL_VELOCITY,1521024568.5591152,0.7500000,8.8400000,0.0900000
MsgID.LOCAL_POSITION,1521024568.5594647,72.9583893,41.7622147,-4.9988108
MsgID.LOCAL_VELOCITY,1521024568.5594647,0.7527314,8.8419371,0.0952277
MsgID.GLOBAL_POSITION,1521024568.8085668,-122.3969533,37.7931380,5.0050000
MsgID.LOCAL_VELOCITY,1521024568.8085668,0.7200000,8.8500000,0.0500000
MsgID.LOCAL_POSITION,1521024568.8087986,73.1197357,44.1443825,-5.0054579
MsgID.LOCAL_VELOCITY,1521024568.8087986,0.7264684,8.8554878,0.0592313
MsgID.STATE,1521024569.0234520,True,True
MsgID.GLOBAL_HOME,1521024569.0238485,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024569.0570335,-122.3969288,37.7931395,5.0100000
MsgID.LOCAL_VELOCITY,1521024569.0570335,0.7100000,8.8400000,0.1000000
MsgID.LOCAL_POSITION,1521024569.1002376,73.2863998,46.3258629,-5.0104733
MsgID.LOCAL_VELOCITY,1521024569.1002376,0.7167217,8.8485432,0.1074497
MsgID.GLOBAL_POSITION,1521024569.3084841,-122.3969020,37.7931419,4.9970000
MsgID.LOCAL_VELOCITY,1521024569.3084841,0.7200000,8.8400000,0.1300000
MsgID.LOCAL_POSITION,1521024569.3087153,73.5513000,48.7107239,-4.9978218
MsgID.LOCAL_VELOCITY,1521024569.3087153,0.7221626,8.8477297,0.1349289
MsgID.GLOBAL_POSITION,1521024569.5592253,-122.3968805,37.7931441,5.0110000
MsgID.LOCAL_VELOCITY,1521024569.5592253,0.6800000,8.8700000,0.0200000
MsgID.LOCAL_POSITION,1521024569.5595546,73.7899323,50.6366158,-5.0114403
MsgID.LOCAL_VELOCITY,1521024569.5595546,0.6871519,8.8738508,0.0302346
MsgID.GLOBAL_POSITION,1521024569.8079259,-122.3968548,37.7931441,5.0140000
MsgID.LOCAL_VELOCITY,1521024569.8079259,0.5300000,8.1000000,0.1400000
MsgID.LOCAL_POSITION,1521024569.8100357,73.7953949,52.8993340,-5.0143147
MsgID.LOCAL_VELOCITY,1521024569.8100357,0.5319414,8.1016703,0.1451262
MsgID.STATE,1521024570.0236926,True,True
MsgID.GLOBAL_HOME,1521024570.0240822,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024570.0585515,-122.3968337,37.7931456,5.0100000
MsgID.LOCAL_VELOCITY,1521024570.0585515,0.4300000,6.4500000,0.1100000
MsgID.LOCAL_POSITION,1521024570.1043935,73.9626846,54.7738724,-5.0107679
MsgID.LOCAL_VELOCITY,1521024570.1043935,0.4389461,6.4575977,0.1115475
MsgID.GLOBAL_POSITION,1521024570.3093364,-122.3968180,37.7931470,5.0070000
MsgID.LOCAL_VELOCITY,1521024570.3093364,0.5800000,4.9300000,0.1200000
MsgID.LOCAL_POSITION,1521024570.3523700,74.1201935,56.1736374,-5.0078630
MsgID.LOCAL_VELOCITY,1521024570.3523700,0.5801408,4.9381108,0.1239943
MsgID.GLOBAL_POSITION,1521024570.5583339,-122.3968068,37.7931497,4.9930000
MsgID.LOCAL_VELOCITY,1521024570.5583339,1.7200000,4.3500000,0.1100000
MsgID.LOCAL_POSITION,1521024570.5605438,74.4164047,57.1691513,-4.9938607
MsgID.LOCAL_VELOCITY,1521024570.5605438,1.7261485,4.3526859,0.1147666
MsgID.GLOBAL_POSITION,1521024570.8086541,-122.3967942,37.7931561,4.9950000
MsgID.LOCAL_VELOCITY,1521024570.8086541,3.1200000,3.7300000,0.0000000
MsgID.LOCAL_POSITION,1521024570.8090408,75.1262207,58.2866135,-4.9952888
MsgID.LOCAL_VELOCITY,1521024570.8090408,3.1206119,3.7379251,-0.0098626
MsgID.STATE,1521024571.0246890,True,True
MsgID.GLOBAL_HOME,1521024571.0250258,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024571.0585072,-122.3967850,37.7931626,5.0010000
MsgID.LOCAL_VELOCITY,1521024571.0585072,4.0900000,3.2400000,0.0100000
MsgID.LOCAL_POSITION,1521024571.1003392,75.8544388,59.1055069,-5.0018115
MsgID.LOCAL_VELOCITY,1521024571.1003392,4.0927081,3.2483120,0.0102427
MsgID.GLOBAL_POSITION,1521024571.3088064,-122.3967747,37.7931732,4.9980000
MsgID.LOCAL_VELOCITY,1521024571.3088064,5.1800000,2.7400000,-0.0100000
MsgID.LOCAL_POSITION,1521024571.3109829,77.0278015,60.0179939,-4.9980021
MsgID.LOCAL_VELOCITY,1521024571.3109829,5.1831188,2.7443078,-0.0129396
MsgID.GLOBAL_POSITION,1521024571.5594115,-122.3967683,37.7931850,4.9860000
MsgID.LOCAL_VELOCITY,1521024571.5594115,6.0700000,2.3400000,0.0000000
MsgID.LOCAL_POSITION,1521024571.5610442,78.3759766,60.6029968,-4.9863515
MsgID.LOCAL_VELOCITY,1521024571.5610442,6.0928836,2.3375430,-0.0006437
MsgID.GLOBAL_POSITION,1521024571.8098247,-122.3967628,37.7931999,4.9810000
MsgID.LOCAL_VELOCITY,1521024571.8098247,7.0800000,1.9400000,-0.1000000
MsgID.LOCAL_POSITION,1521024571.8118684,79.9961548,61.0830574,-4.9819193
MsgID.LOCAL_VELOCITY,1521024571.8118684,7.0899243,1.9461782,-0.1015500
MsgID.STATE,1521024572.0237484,True,True
MsgID.GLOBAL_HOME,1521024572.0244319,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024572.0684216,-122.3967574,37.7932154,4.9890000
MsgID.LOCAL_VELOCITY,1521024572.0684216,7.8900000,1.6800000,-0.1200000
MsgID.LOCAL_POSITION,1521024572.0687659,81.7761765,61.5758705,-4.9901986
MsgID.LOCAL_VELOCITY,1521024572.0687659,7.9193006,1.6763222,-0.1223685
MsgID.GLOBAL_POSITION,1521024572.3091981,-122.3967525,37.7932362,4.9950000
MsgID.LOCAL_VELOCITY,1521024572.3091981,8.4500000,1.4900000,-0.0200000
MsgID.LOCAL_POSITION,1521024572.3114090,84.0244064,61.9913979,-4.9952779
MsgID.LOCAL_VELOCITY,1521024572.3114090,8.4500742,1.4914832,-0.0294328
MsgID.GLOBAL_POSITION,1521024572.5607080,-122.3967503,37.7932540,4.9940000
MsgID.LOCAL_VELOCITY,1521024572.5607080,8.6300000,1.4000000,-0.0300000
MsgID.LOCAL_POSITION,1521024572.5627251,86.1031723,62.2011147,-4.9953575
MsgID.LOCAL_VELOCITY,1521024572.5627251,8.6418419,1.4023995,-0.0430514
MsgID.GLOBAL_POSITION,1521024572.8088551,-122.3967469,37.7932757,5.0020000
MsgID.LOCAL_VELOCITY,1521024572.8088551,8.7000000,1.3800000,0.0100000
MsgID.LOCAL_POSITION,1521024572.8110569,88.4170609,62.4948158,-5.0028367
MsgID.LOCAL_VELOCITY,1521024572.8110569,8.7042484,1.3860039,0.0149799
MsgID.STATE,1521024573.0237510,True,True
MsgID.GLOBAL_HOME,1521024573.0241783,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024573.0598385,-122.3967406,37.7932938,5.0020000
MsgID.LOCAL_VELOCITY,1521024573.0598385,8.7200000,1.3800000,0.0700000
MsgID.LOCAL_POSITION,1521024573.1003549,90.4795990,63.0689659,-5.0022187
MsgID.LOCAL_VELOCITY,1521024573.1003549,8.7246523,1.3874425,0.0769714
MsgID.GLOBAL_POSITION,1521024573.3095222,-122.3967385,37.7933131,4.9930000
MsgID.LOCAL_VELOCITY,1521024573.3095222,8.7700000,1.3300000,0.0000000
MsgID.LOCAL_POSITION,1521024573.3116970,92.5751343,63.2388573,-4.9930344
MsgID.LOCAL_VELOCITY,1521024573.3116970,8.7778988,1.3308995,0.0076750
MsgID.GLOBAL_POSITION,1521024573.5606482,-122.3967353,37.7933330,4.9980000
MsgID.LOCAL_VELOCITY,1521024573.5606482,8.7900000,1.3300000,0.0000000
MsgID.LOCAL_POSITION,1521024573.5627966,94.8986511,63.5508881,-4.9979553
MsgID.LOCAL_VELOCITY,1521024573.5627966,8.7944860,1.3370501,-0.0112960
MsgID.GLOBAL_POSITION,1521024573.8096581,-122.3967284,37.7933546,4.9830000
MsgID.LOCAL_VELOCITY,1521024573.8096581,8.7800000,1.3400000,-0.0200000
MsgID.LOCAL_POSITION,1521024573.8118601,97.1795425,64.1345978,-4.9838338
MsgID.LOCAL_VELOCITY,1521024573.8118601,8.7854595,1.3482474,-0.0242609
MsgID.STATE,1521024574.0237470,True,True
MsgID.GLOBAL_HOME,1521024574.0243471,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024574.0683937,-122.3967250,37.7933713,4.9740000
MsgID.LOCAL_VELOCITY,1521024574.0683937,8.8000000,1.2400000,-0.0600000
MsgID.LOCAL_POSITION,1521024574.0687456,99.1217880,64.4525909,-4.9742947
MsgID.LOCAL_VELOCITY,1521024574.0687456,8.8111000,1.2422715,-0.0690365
MsgID.GLOBAL_POSITION,1521024574.3113501,-122.3967225,37.7933927,4.9720000
MsgID.LOCAL_VELOCITY,1521024574.3113501,8.5500000,1.0600000,-0.2300000
MsgID.LOCAL_POSITION,1521024574.3134420,101.4161301,64.6597137,-4.9721165
MsgID.LOCAL_VELOCITY,1521024574.3134420,8.5543499,1.0666491,-0.2326239
MsgID.GLOBAL_POSITION,1521024574.5599265,-122.3967203,37.7934107,4.9760000
MsgID.LOCAL_VELOCITY,1521024574.5599265,7.0000000,0.8700000,-0.1900000
MsgID.LOCAL_POSITION,1521024574.5620246,103.4732971,64.8601456,-4.9762087
MsgID.LOCAL_VELOCITY,1521024574.5620246,6.9457288,0.8683169,-0.1971614
MsgID.GLOBAL_POSITION,1521024574.8115733,-122.3967184,37.7934262,4.9770000
MsgID.LOCAL_VELOCITY,1521024574.8115733,6.0300000,0.8400000,-0.1400000
MsgID.LOCAL_POSITION,1521024574.8524170,105.1402283,65.0288239,-4.9770679
MsgID.LOCAL_VELOCITY,1521024574.8524170,6.0371065,0.8480708,-0.1483973
MsgID.STATE,1521024575.0235970,True,True
MsgID.GLOBAL_HOME,1521024575.0238626,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024575.0615633,-122.3967160,37.7934393,4.9770000
MsgID.LOCAL_VELOCITY,1521024575.0615633,7.2400000,0.9700000,-0.1900000
MsgID.LOCAL_POSITION,1521024575.1042387,106.6480637,65.2519379,-4.9782367
MsgID.LOCAL_VELOCITY,1521024575.1042387,7.2853117,0.9791149,-0.1940569
MsgID.GLOBAL_POSITION,1521024575.3117809,-122.3967141,37.7934573,4.9960000
MsgID.LOCAL_VELOCITY,1521024575.3117809,8.1700000,1.1000000,-0.1700000
MsgID.LOCAL_POSITION,1521024575.3140116,108.5899200,65.4111481,-4.9969974
MsgID.LOCAL_VELOCITY,1521024575.3140116,8.1719170,1.1049535,-0.1761962
MsgID.GLOBAL_POSITION,1521024575.5608320,-122.3967103,37.7934756,4.9950000
MsgID.LOCAL_VELOCITY,1521024575.5608320,8.4900000,1.1600000,-0.0400000
MsgID.LOCAL_POSITION,1521024575.5629354,110.7059937,65.7617874,-4.9950900
MsgID.LOCAL_VELOCITY,1521024575.5629354,8.4993162,1.1664089,-0.0467314
MsgID.GLOBAL_POSITION,1521024575.8106956,-122.3967120,37.7934897,5.0610000
MsgID.LOCAL_VELOCITY,1521024575.8106956,3.5700000,-3.4200000,-0.3000000
MsgID.LOCAL_POSITION,1521024575.8128984,112.1986465,65.5974426,-5.0610061
MsgID.LOCAL_VELOCITY,1521024575.8128984,3.5779264,-3.4297538,-0.3026897
MsgID.STATE,1521024576.0244327,True,True
MsgID.GLOBAL_HOME,1521024576.0248237,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024576.0604041,-122.3967213,37.7934872,5.1060000
MsgID.LOCAL_VELOCITY,1521024576.0604041,-1.5000000,-2.0300000,0.3300000
MsgID.LOCAL_POSITION,1521024576.1043184,111.8976135,64.7492142,-5.1030331
MsgID.LOCAL_VELOCITY,1521024576.1043184,-1.4736379,-2.0183022,0.3641721
MsgID.GLOBAL_POSITION,1521024576.3110955,-122.3967257,37.7934858,4.9730000
MsgID.LOCAL_VELOCITY,1521024576.3110955,-0.0700000,-1.4700000,0.3000000
MsgID.LOCAL_POSITION,1521024576.3132291,111.7604370,64.3752289,-4.9730520
MsgID.LOCAL_VELOCITY,1521024576.3132291,-0.0750570,-1.4733436,0.3007359
MsgID.GLOBAL_POSITION,1521024576.5612662,-122.3967288,37.7934888,4.9680000
MsgID.LOCAL_VELOCITY,1521024576.5612662,1.3100000,-0.9800000,-0.1700000
MsgID.LOCAL_POSITION,1521024576.5633991,112.1019669,64.0917892,-4.9698195
MsgID.LOCAL_VELOCITY,1521024576.5633991,1.3530575,-0.9697359,-0.1762084
MsgID.GLOBAL_POSITION,1521024576.8112354,-122.3967318,37.7934926,5.0040000
MsgID.LOCAL_VELOCITY,1521024576.8112354,2.4900000,-0.5500000,-0.0700000
MsgID.LOCAL_POSITION,1521024576.8133914,112.5195770,63.8378029,-5.0049186
MsgID.LOCAL_VELOCITY,1521024576.8133914,2.4996243,-0.5521258,-0.0756158
MsgID.STATE,1521024577.0238435,True,True
MsgID.GLOBAL_HOME,1521024577.0241702,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024577.0617096,-122.3967322,37.7934976,5.0020000
MsgID.LOCAL_VELOCITY,1521024577.0617096,3.4800000,-0.1900000,0.0400000
MsgID.LOCAL_POSITION,1521024577.1042883,113.0944214,63.8026161,-5.0022454
MsgID.LOCAL_VELOCITY,1521024577.1042883,2.6864493,-0.9974816,-0.2832906
MsgID.GLOBAL_POSITION,1521024577.3124373,-122.3967347,37.7935016,5.0980000
MsgID.LOCAL_VELOCITY,1521024577.3124373,0.0900000,-1.1800000,-0.5600000
MsgID.LOCAL_POSITION,1521024577.3144696,113.5215149,63.5745659,-5.0987744
MsgID.LOCAL_VELOCITY,1521024577.3144696,0.0914650,-1.1878546,-0.5674255
MsgID.GLOBAL_POSITION,1521024577.5626738,-122.3967374,37.7935026,5.0610000
MsgID.LOCAL_VELOCITY,1521024577.5626738,0.7300000,-0.8900000,0.6100000
MsgID.LOCAL_POSITION,1521024577.5648990,113.6369324,63.3118439,-5.0510640
MsgID.LOCAL_VELOCITY,1521024577.5648990,0.8158544,-0.8665891,0.6212407
MsgID.GLOBAL_POSITION,1521024577.8130643,-122.3967409,37.7935050,4.9700000
MsgID.LOCAL_VELOCITY,1521024577.8130643,1.7900000,-0.6400000,0.1100000
MsgID.LOCAL_POSITION,1521024577.8153877,113.8984756,63.0258636,-4.9701729
MsgID.LOCAL_VELOCITY,1521024577.8153877,1.7997353,-0.6436512,0.1156836
MsgID.STATE,1521024578.0244865,True,True
MsgID.GLOBAL_HOME,1521024578.0248327,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024578.0625479,-122.3967419,37.7935102,4.9900000
MsgID.LOCAL_VELOCITY,1521024578.0625479,2.7500000,-0.0900000,-0.0200000
MsgID.LOCAL_POSITION,1521024578.1043384,114.4956970,62.9347878,-4.9912949
MsgID.LOCAL_VELOCITY,1521024578.1043384,2.7749219,-0.0822180,-0.0168257
MsgID.GLOBAL_POSITION,1521024578.3124623,-122.3967439,37.7935157,5.0870000
MsgID.LOCAL_VELOCITY,1521024578.3124623,0.8700000,-1.4700000,-0.0700000
MsgID.LOCAL_POSITION,1521024578.3146539,115.0858765,62.7589912,-5.0874681
MsgID.LOCAL_VELOCITY,1521024578.3146539,0.8780923,-1.4768641,-0.0719767
MsgID.GLOBAL_POSITION,1521024578.5631533,-122.3967459,37.7935183,5.0390000
MsgID.LOCAL_VELOCITY,1521024578.5631533,1.6200000,-1.0400000,0.5800000
MsgID.LOCAL_POSITION,1521024578.5651984,115.3878784,62.5770493,-5.0352802
MsgID.LOCAL_VELOCITY,1521024578.5651984,1.6727560,-1.0277603,0.5838192
MsgID.GLOBAL_POSITION,1521024578.8125708,-122.3967491,37.7935235,4.9740000
MsgID.LOCAL_VELOCITY,1521024578.8125708,2.9800000,-0.5600000,0.0800000
MsgID.LOCAL_POSITION,1521024578.8146999,115.9485245,62.2995758,-4.9747167
MsgID.LOCAL_VELOCITY,1521024578.8146999,2.9846439,-0.5697432,0.0832396
MsgID.STATE,1521024579.0245697,True,True
MsgID.GLOBAL_HOME,1521024579.0249031,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024579.0629716,-122.3967516,37.7935311,4.9990000
MsgID.LOCAL_VELOCITY,1521024579.0629716,4.0500000,-0.1400000,0.0100000
MsgID.LOCAL_POSITION,1521024579.1043870,116.8364182,62.0719452,-4.9998345
MsgID.LOCAL_VELOCITY,1521024579.1043870,4.0923157,-0.1292500,0.0117838
MsgID.GLOBAL_POSITION,1521024579.3125803,-122.3967511,37.7935406,4.9980000
MsgID.LOCAL_VELOCITY,1521024579.3125803,5.0100000,0.2400000,0.1200000
MsgID.LOCAL_POSITION,1521024579.3147724,117.8497391,62.1235008,-4.9984493
MsgID.LOCAL_VELOCITY,1521024579.3147724,5.0103445,0.2449359,0.1234791
MsgID.GLOBAL_POSITION,1521024579.5636764,-122.3967486,37.7935515,5.0040000
MsgID.LOCAL_VELOCITY,1521024579.5636764,4.2600000,-0.8900000,-0.5600000
MsgID.LOCAL_POSITION,1521024579.5657201,119.1020966,62.3378105,-5.0090795
MsgID.LOCAL_VELOCITY,1521024579.5657201,4.2792301,-0.8909634,-0.5288570
MsgID.GLOBAL_POSITION,1521024579.8124490,-122.3967515,37.7935637,5.0430000
MsgID.LOCAL_VELOCITY,1521024579.8124490,4.5000000,-0.8100000,0.1700000
MsgID.LOCAL_POSITION,1521024579.8147037,120.4133682,62.0803642,-5.0438213
MsgID.LOCAL_VELOCITY,1521024579.8147037,4.5089121,-0.8178598,0.1788099
MsgID.STATE,1521024580.0243206,True,True
MsgID.GLOBAL_HOME,1521024580.0245845,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024580.0625305,-122.3967564,37.7935747,4.9940000
MsgID.LOCAL_VELOCITY,1521024580.0625305,4.6500000,-0.8500000,-0.0500000
MsgID.LOCAL_POSITION,1521024580.1043282,121.6775970,61.6405106,-4.9948587
MsgID.LOCAL_VELOCITY,1521024580.1043282,4.6426263,-0.8706840,-0.0689389
MsgID.GLOBAL_POSITION,1521024580.3123415,-122.3967574,37.7935850,5.0000000
MsgID.LOCAL_VELOCITY,1521024580.3123415,4.9300000,-0.7000000,-0.0300000
MsgID.LOCAL_POSITION,1521024580.3165746,122.7822800,61.5583382,-5.0007863
MsgID.LOCAL_VELOCITY,1521024580.3165746,4.9317155,-0.7020689,-0.0339755
MsgID.GLOBAL_POSITION,1521024580.5634470,-122.3967585,37.7935951,5.0150000
MsgID.LOCAL_VELOCITY,1521024580.5634470,4.8400000,-0.7700000,0.0000000
MsgID.LOCAL_POSITION,1521024580.5655351,123.9450455,61.4487000,-5.0151134
MsgID.LOCAL_VELOCITY,1521024580.5655351,4.8583860,-0.7628764,0.0152419
MsgID.GLOBAL_POSITION,1521024580.8127699,-122.3967622,37.7936063,5.0060000
MsgID.LOCAL_VELOCITY,1521024580.8127699,4.5500000,-1.0300000,-0.2100000
MsgID.LOCAL_POSITION,1521024580.8150084,125.1525269,61.1360245,-5.0069046
MsgID.LOCAL_VELOCITY,1521024580.8150084,4.5585155,-1.0339688,-0.2109908
MsgID.STATE,1521024581.0258279,True,True
MsgID.GLOBAL_HOME,1521024581.0261652,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024581.0637660,-122.3967645,37.7936179,5.0060000
MsgID.LOCAL_VELOCITY,1521024581.0637660,4.7700000,-0.8500000,-0.0700000
MsgID.LOCAL_POSITION,1521024581.1042562,126.4843597,60.9221992,-5.0072327
MsgID.LOCAL_VELOCITY,1521024581.1042562,4.7581220,-0.8674541,-0.0976643
MsgID.GLOBAL_POSITION,1521024581.3145106,-122.3967671,37.7936273,5.0090000
MsgID.LOCAL_VELOCITY,1521024581.3145106,4.8900000,-0.7300000,0.0600000
MsgID.LOCAL_POSITION,1521024581.3166652,127.4882202,60.7015114,-5.0095048
MsgID.LOCAL_VELOCITY,1521024581.3166652,4.8943062,-0.7310824,0.0618985
MsgID.GLOBAL_POSITION,1521024581.5632470,-122.3967703,37.7936374,5.0200000
MsgID.LOCAL_VELOCITY,1521024581.5632470,4.7500000,-0.8300000,-0.0600000
MsgID.LOCAL_POSITION,1521024581.5676458,128.6527710,60.4000168,-5.0205040
MsgID.LOCAL_VELOCITY,1521024581.5676458,4.7758307,-0.8193140,-0.0504079
MsgID.GLOBAL_POSITION,1521024581.8136280,-122.3967724,37.7936504,5.0170000
MsgID.LOCAL_VELOCITY,1521024581.8136280,4.6300000,-0.9000000,-0.0600000
MsgID.LOCAL_POSITION,1521024581.8158324,130.0454254,60.2300453,-5.0170631
MsgID.LOCAL_VELOCITY,1521024581.8158324,4.6393409,-0.9038959,-0.0657439
MsgID.STATE,1521024582.0240750,True,True
MsgID.GLOBAL_HOME,1521024582.0262089,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024582.0683541,-122.3967725,37.7936596,5.0040000
MsgID.LOCAL_VELOCITY,1521024582.0683541,4.6900000,-0.8300000,-0.0200000
MsgID.LOCAL_POSITION,1521024582.0686562,131.1054230,60.2167625,-5.0039973
MsgID.LOCAL_VELOCITY,1521024582.0686562,4.7168722,-0.8118604,-0.0167950
MsgID.GLOBAL_POSITION,1521024582.3145158,-122.3967745,37.7936699,5.0030000
MsgID.LOCAL_VELOCITY,1521024582.3145158,4.6800000,-0.8100000,-0.1300000
MsgID.LOCAL_POSITION,1521024582.3166425,132.2164001,60.0372162,-5.0033092
MsgID.LOCAL_VELOCITY,1521024582.3166425,4.6881766,-0.8186440,-0.1332197
MsgID.GLOBAL_POSITION,1521024582.5637558,-122.3967776,37.7936805,5.0070000
MsgID.LOCAL_VELOCITY,1521024582.5637558,4.6700000,-0.7800000,-0.0300000
MsgID.LOCAL_POSITION,1521024582.5659053,133.4344635,59.7510262,-5.0071936
MsgID.LOCAL_VELOCITY,1521024582.5659053,4.6133637,-0.8339118,-0.0717780
MsgID.GLOBAL_POSITION,1521024582.8135157,-122.3967825,37.7936898,5.0130000
MsgID.LOCAL_VELOCITY,1521024582.8135157,2.3000000,-2.7200000,-1.0800000
MsgID.LOCAL_POSITION,1521024582.8179209,134.4239502,59.3306618,-5.0131159
MsgID.LOCAL_VELOCITY,1521024582.8179209,2.3006923,-2.7278876,-1.0836465
MsgID.STATE,1521024583.0261602,True,True
MsgID.GLOBAL_HOME,1521024583.0265789,-122.3974500,37.7924800,0.0000000
